id,isb_number,song_title,song_code,album,year,lyricist,composer,singer,musicians,picturized_on,category,transcribed_by,created_at,lyrics_text,film_imdb_id,film_wikidata_id,lyricist_imdb_ids,composer_imdb_ids,singer_imdb_ids,picturized_on_imdb_ids
42,504,"dil ke Tuka.De Tuka.De karake, muskuraate chal diye",,Dada,1978,Kulvant Jani,Usha Khanna,Yesudas,,"Vinod Mehra, Bindiya Goswami, Pallavi Joshi",,,2024-12-06T23:25:26.470358+00:00,"%
(dil ke Tuka.De Tuka.De karake 
muskuraate chal diye ) \- (2)
jaate jaate ye to bataa jaa
ham jiye.nge kisake liye
dil ke Tuka.De Tuka.De karake
muskuraate chal diye

chaa.nd bhii hogaa, taare bhii ho.nge
duur chaman me.n pyaare bhii ho.nge
lekin hamaaraa dil na lagegaa
bhiigegii jab jab raat suhaanii
aag lagaaegii R^itu mastaanii
tuu hii bataa koii kaise jiyegaa
dil ke maaro.n ko dil ke maalik
Thokar lagaa ke chal diye
dil ke Tuka.De \threedots

ruuThe rahe.nge aap jo hamase
mar jaae.nge ham bhii kasam se
sunale haath chhu.Daane se pahale
jaan hamaarii naam pe terii
jaaegii jis din dilabar merii
soch samajh le jaane se pahale
yuu.n agar tum dil kii tamannaa
ko miTaake chal diye
dil ke Tuka.De \threedots
%",,,,,,
43,11095,hai yahaa.n ko_ii mard ... Das,,Dus,1998?,Deepak Choudhary,Sandip Chawla,"Saumyam Anupama, Chorus/ Shankar Mahadevan, Dominic, Hema Sardesai",,"Sanjay Dutt, Ravina Tondon, Salman Khan, Shilpa Shetty",,V S Rawat,2024-12-06T23:25:26.470358+00:00,"%
%Part 1:
%
hai yahaa.n ko_ii mard hindustaanii jo mujhe chhuu sake
ho ho
saa.Nse.n merii tuufaanii bekaabuu ye javaanii
kaabuu ko_ii mujhape paa naa sakaa
har a.ng me.n tan me.n chi.ngaarii ye badan kii
ko_ii bujhaa_e bujhaa naa sakaa
aa bujhaa de bas hosh u.Daa de Das ho ho ho ho

jaaduu huu.N javaa.n huu.N khushbuu huu.N mai.n havaa huu.N
mai.n hii mahakataa hu_aa huu.N samaa.n
ra.ngiilii mai.n diivaanii nashiilii mai.n mastaanii
mai.n jaam huu.N jaam kaa mai.n nashaa
aajamaa le bas hosh u.Daa de Das

mai.n huu.N havaa kaa jho.nkaa havaa ko kisane rokaa
Tokaa hai laharo.n ko kisane yahaa.n
suuraj kii kiraNo.n jaise ja.ngal me.n hiraNo.n jaise
baadal bhii aavaaraa ghuume.n jahaa.n
dil churaa le bas hosh u.Daa de Das ho ho ho ho
saa.Nse.n merii tuufaanii \threedots
%
%Part 2:
%
vande maataram vande maataram
hai yahaa.n ko_ii mard jo mujhe chhuu sake
aa.Nkho.n se paradaa haTaa de nazaro.n se nazare.n la.Daa le
he jalaakar javaanii chi.ngaariyo.n ko havaa de
mardo.n me.n tuu hii to ik mard hai
apanii mardaanagii aa dikhaa de dikhaa de
u.Daa de mere hosh bas Das
haa.N tuu chaahi_e mujhako bas Das
merii raaho.n me.n nigaaho.n me.n aa pha.ns
aa le le mujhe panaaho.n me.n aur kas
Das Das Das Das

jay hi.nd kaho jay he jay he is vatan kii jay is chaman kii jay

qaatil javaanii jaalim samaa.n
hone lagii hai fizaa badagumaa.n
har jism pyaasaa hai har ruuh pyaasii hai
aise me.n jaan\-e\-jaa.n duurii hai kyo.n darmiyaa.n
mujhase jo nazar milaataa hai
merii lau me.n vo ho jaataa hai fanaa
merii aag se khelaa hai tuune
ho jaa_egaa tuu jal jal ye dhu_aa.n
baraso.n kii tarasii ye nazar hai
baraso.n ke pyaase ye adhar hai.n
naa tarasaa mujhe naa taras
Das Das Das Das
%",,,,,,
44,13851,havaa tuu unase jaa kar kah de,,Rimjhim,1949,Moti,Khemchand Prakash,"Rafi, Ramola",,"Kishore Sahu, Ramola",,BOL ANAMOL #11380 [V S Rawat],2024-12-06T23:25:26.470358+00:00,"%
havaa tuu unase jaa kar kah de ik diivaanaa aayaa hai
terii suurat pe marane vaalaa ik paravaanaa aayaa hai

jab se matavaalii aa.Nkho.n se aa.Nkhe.n hu_ii hai.n chaar
tumako dekhe binaa na tab se milataa hame.n qaraar
yahii afasaanaa laayaa hai teraa diivaanaa aayaa hai

hamako tumase tumako hamase dil ko dil se kaam
dilavaalo.n ke lab pe rahataa hai dilabar kaa naam
ajab mastaanaa aayaa hai teraa diivaanaa aayaa hai

mil jaa_e diidaar mujhe mai.n ho jaa_uu.N qurabaan
ek jhalak dikhalaa do raanii de duu.N apanii jaan
yahii nazaraanaa laayaa hai teraa diivaanaa aayaa hai
%",,,,,,
45,15484,nain hai.n yaa ke jaam saaqii ke,,Passions (Non-Film),1993,Chowdhari Bashir,Ghulam Ali,Ghulam Ali,,,,"[BOL ANAMOL], V S Rawat, Nov 03, 2004",2024-12-06T23:25:26.470358+00:00,"nain hai.n yaa ke jaam saaqii ke
ho gaye ham Gulaam saaqii ke

jaan\-o\-dil ab kahaa.N rahe apane
kar diye hamane naam saaqii ke

may hii may chal rahii thii har jaanib
ham gaye ghar jo shaam saaqii ke

aaj waa_iz ko jhuumate dekhaa
ho na ho hai.n ye kaam saaqii ke

ho gaye ham asiir\-e\-mayaKaanaa
aa gaye zer\-e\-daam saaqii ke",,,,,,
46,239,"baabuujii dhiire chalanaa, pyaar me.n zaraa sa.nbhalanaa",,Aar Paar,1954,Majrooh,O P Nayyar,Geeta,,"Guru Dutt, Shyama, Shakeela",,,2024-12-06T23:25:26.470358+00:00,"%
baabuujii dhiire chalanaa
pyaar me.n zaraa sambhalanaa
haa.N ba.De dhokhe hai.n
ba.De dhokhe hai.n is raah me.n, baabuujii \threedots

kyuu.N ho khoye huye sar jhukaaye
jaise jaate ho sab kuchh luTaaye
ye to baabuujii pahalaa kadam hai
nazar aate hai.n apane paraaye
haa.N ba.De dhokhe hai.n \threedots

ye muhabbat hai o bholebhaale
kar na dil ko Gamo.n ke havaale
kaam ulafat kaa naazuk bahut hai
aake ho.nTho.n pe TuuTe.nge pyaale
haa.N ba.De dhokhe hai.n \threedots

ho gayii hai kisii se jo anaban
thaam le duusaraa koI daaman
zi.ndagaanii ki raahe.n ajab hai.n
ho akelaa hai to laakho.n hai.n dushman
haa.N ba.De dhokhe hai.n \threedots
%",,,,,,
47,14817,"kaise chhipoge, ab tum kaise chhipoge",,Bandhan,1940,Pradeep,Saraswati Devi,Leela Chitnis,,"Leela Chitnis, Ashok Kumar, B H Desai, Suresh, Arun Kumar",,"BOL ANAMOL [V S Rawat], 07/08/2004",2024-12-06T23:25:26.470358+00:00,"( kaise chhipoge, ab tum kaise chhipoge
o salone saajanaa, kaise chhipoge ) \-2

jaan ga_ii mai.n tumhaarii aa.Nkh\-michaulii
pahachaan ga_ii mai.n tumhaarii aa.Nkh\-michaulii
ab to bataa_o mujhe tum kaise chhaloge \-2
o salone saajanaa, kaise chhipoge
kaise chhipoge, ab tum kaise chhipoge
o salone saajanaa, kaise chhipoge

mai.nne kiyaa band tumhe.n aa.Nkha.Diyo.n me.n \-2
kamal kii paa.Nkha.Diyo.n me.n
is naye bandhan se kabhii chhuT na sakoge \-2
o salone saajanaa, kaise chhipoge
( kaise chhipoge, ab tum kaise chhipoge
o salone saajanaa, kaise chhipoge ) \-2",,,,,,
48,3189,rut phire par din hamaare,,Pyaasa,1957,Sahir,S D Burman,Geeta,,"Guru Dutt, Waheeda Rehman, Mala Sinha",,,2024-12-06T23:25:26.470358+00:00,"%
rut phire par din hamaare, phire naa phire naa phire naa
rut phire par din hamaare

(dharti pe ra.ng chhaayaa, duniyaa ke bhaag jaage
lekin vahii andheraa ab tak hai apane aage)\-2
rut phire par din hamaare \threedots

pahu.Nchii naa apanii naiyyaa,ab tak kisii kinaare\-2
koii nahii.n jo hamako apanii taraf pukaare
(is paar kuchh nahii.n hai us paar kuchh nahii.n hai
apane liye sivaae majhadhaar kuchh nahii.n hai)\-2
rut phire par din hamaare \threedots

%",,,,,,
49,2483,un se nazare.n milii aur hijaab aa gayaa,,Ghazal,1964,Sahir,Madan Mohan,"Lata, Minoo Purshottam",,"Meena Kumari, Sunil Dutt, Rehman",,K Vijay Kumar,2024-12-06T23:25:26.470358+00:00,"%
un se nazare.n milii aur hijaab aa gayaa
zi.ndagii me.n hasiin inqilaab aa gayaa

bekhabar the umar ke taqaazo.n se ham
hamako maaluum na thaa aise bhii din aaye.nge
aa_inaa dekhe to aap apane se sharamaaye.nge
aaj jaanaa ki sach much shabaab aa gayaa

aa.Nkh jhukatii hai kyo.n saa.Ns rukatii hai kyo.n
in savaalo.n ka khud se javaab aa gayaa

dil ke aane ko ham kis tarah rokate
jisape aanaa thaa Kaanaa kharaab aa gayaa

%",,,,,,
50,13929,aa_ii hai duur se la.Dakii diivaanii hai ... bhuule nahii.n ye safaarii,,Safaari,1999,Rani Malik,Shyam Mohan,Amit Kumar,,"Sanjay Dutt, Juhi Chawla",,V S Rawat,2024-12-06T23:25:26.470358+00:00,"%
aa_ii hai duur se la.Dakii diivaanii hai
hai to vo ajanabii par jaanii pahachaanii hai
mujhako to yaad rahegaa ye safar pyaar kaa
dekho bhulaanaa nahii.n tum bhii kabhii ye safaarii ye safaarii
yaad rahe bhuule nahii.n ye safaarii

tho.Dii tho.Dii gusse me.n bhiigii javaanii hai
dekho dekho mil gayaa aag me.n paanii hai
tumako bhii to siidhe raste le hii aa_egii
ye safaarii \threedots

daavaa hai ye meraa chaahe jaa_o jahaa.n
dil pe rah jaa_e.nge in lamho.n ke nishaa.n
terii aa.Nkho.n se bhii ik din nii.nd churaa_egii
ye safaarii \threedots
%",,,,,,
51,rmim0656,kin ghadiyo.n mein priit lagaaii,,Saarangaa,1960,Bharat Vyas,Sardar Malik,Asha,,"Sudesh Kumar, Jaishri Gadkar, Neelofar, B M Vyas, Niranjan Sharma",,Deepak Sabnis,2024-12-06T23:25:26.470358+00:00,"kin gha.Diyo.n mein priit lagaaii, sehanii padii judaaii
bachapan kaa wo pyaar bhulaa do, main to huii paraaii

chalii re chalii re main to, des paraaaye
chalii re chalii re main to, des paraaaye
bhiigii bhiigii palako.n mein pyaar chhupaaye
chalii re chalii re main to.

jalaaye the jo diip, ab wo bujhaa do
jalaaye the jo diip, ab wo bujhaa do
mere pyaar kaa har nishaa.n tak mitaa do
sapanaa hii samajho, sapanaa hii samajho
jo sapane sajaaye
chalii re chalii re main to, des paraaaye
bhiigii bhiigii palako.n mein pyaar chhupaaye
chalii re chalii re main to.

huii aaj jhuuthii wo aapas kii kasamein
huii aaj jhuuthii wo aapas kii kasamein
karein haay kyaa ham, jo kisamat na bas mein
likhaa bhaag mein jo, likhaa bhaag mein jo
mite naa mitaaye
chalii re chalii re main to, des paraaaye
bhiigii bhiigii palako.n mein pyaar chhupaaye
chalii re chalii re main to.",,,,,,
52,341,"chaa.Nd phir nikalaa, magar tum na aaye",,Paying Guest,1957,Majrooh,S D Burman,Lata,,"Dev Anand, Nutan",,,2024-12-06T23:25:26.470358+00:00,"%
chaa.nd phir nikalaa, magar tum na aaye
jalaa phir meraa dil, karu.N kyaa mai.n haay
chaa.nd phir nikalaa \threedots

(ye raat kahatii hai vo din gaye tere 
ye jaanataa hai dil ke tum nahii.n mere  )   \- 2
kha.Dii mai.n huu.N phir bhii nigaahe.n bichhaaye
mai.n kyaa karuu.N haay ke tum yaad aaye
chaa.nd phir nikalaa \threedots

(sulagate siine se dhu.naa saa uThataa hai
lo ab chale aao ke dam ghuTataa hai.n  )   \- 2
jalaa gaye tan ko bahaaro.n ke saaye
mai.n kyaa karu.N haay ke tum yaad aaye
chaa.nd phir nikalaa \threedots
%",,,,,,
53,1691,tere mere biich me.n kaisaa hai ye bandhan a.njaanaa,,Ek Duje Ke Liye,1981,Anand Bakshi,Laxmikant-Pyarelal,"Lata, S P Balasubramaniam / S P Balasubramaniam",,"Kamalahaasan, Rati Agnihotri",,Himanshu Gupta,2024-12-06T23:25:26.470358+00:00,"%
lataa:
o, tere mere biich me.n \-2
kaisaa hai yah bandhan a.njaanaa \-3
mai.nne nahii.n jaanaa, tuune nahii.n jaanaa \-2
tere mere biich me.n \threedots

ek Dor khii.nche duujaa dau.Daa chalaa aae \-2
kachche dhaage me.n ba.ndhaa chalaa aae
aise jaise koii \threedots
aise jaise koii, diivaanaa \-2
mai.nne nahii.n jaanaa, tuune nahii.n jaanaa
tere mere biich me.n \threedots

es pii:
ho ho aapa.Diyaa

lataa:
haa haa jaise sab samajh gayaa

pahanuu.Ngii mai.n tere haatho.n se ka.nganaa \-2
jaaegii merii Dolii tere hii a.nganaa
chaahe kuchh kar le \threedots
chaahe kuchh kar le, zamaanaa \-2
mai.nne nahii.n jaanaa, tuune nahii.n jaanaa
tere mere biich me.n \threedots
 
es pii:
nii rombaa a.Dagaa irukke

lataa:
rambaa? ye rambaa\-mambaa kyaa hai?

itanii zubaane.n bole.n log hamajolii \-2
duniyaa me.n pyaar kii ek hai bolii
bole jo shamaa \threedots
bole jo shamaa, parvaanaa \-2
mai.nne nahii.n jaanaa, tuune nahii.n jaanaa
 
es pii:
paravaa illaye nallaa paadaraa

lataa:
kyaa?

kaisaa hai yah bandhan a.njaanaa
mai.nne nahii.n jaanaa, tuune nahii.n jaanaa
tere mere biich me.n \threedots

## Slow Version ##
tere mere biich me.n kaisaa hai ye bandhan anjaanaa
mai.n ne nahii.n jaanaa, tuu ne nahii.n jaanaa

ek Dor khii.nche duujaa dau.Daa chalaa aae \-2
kachche dhaage me.n ba.ndhaa chalaa aae
aise jaise koii \threedots
aise jaise koii, diivaanaa \-2
mai.nne nahii.n jaanaa, tuune nahii.n jaanaa
tere mere biich me.n \threedots

nii.nd na aaye mujhe chain na aaye
laakh jatan kar rok na paaye
sapano.n me.n teraa
o, sapno.n me.n teraa aanaa jaanaa
mai.n ne nahii.n jaanaa, tuu ne nahii.n jaanaa
tere mere biich me.n   \threedots
%",,,,,,
54,14807,naara.ngii le lo jii ko_ii naara.ngii le lo,,Bahut Din Huye,1954,Pt Indra,B S Kalla,Female?,,"Madhubala, Ratan Kumar",,"BOL ANAMOL [V S Rawat], 07/08/2004",2024-12-06T23:25:26.470358+00:00,"naara.ngii le lo jii ko_ii naara.ngii le lo
khaTTii le lo miiThii le lo aur le lo rasadaar
isakii kalii\-kalii me.n bhar laayii mai.n dil kaa pyaar

naa dekho saiyaa.N meraa ra.ng \-2
naara.ngii dekho dekho ye naara.ngii dekho
aa jaaye dil me.n jo tara.ng to
naara.ngii dekho dekho ye naara.ngii dekho jii

vaah vaah",,,,,,
